City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
435,Lethem,GY,74.82,overcast clouds,3.3803,-59.7968,Hotel Amazonas
453,Sabang,ID,81.66,broken clouds,5.8933,95.3214,Sabang Hill
458,Caravelas,BR,71.6,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
459,San Juan,AR,82.6,scattered clouds,-31.5375,-68.5364,Hotel San Francisco
460,Aswan,EG,73.87,overcast clouds,24.0934,32.907,Yaseen hotel
462,Yulara,AU,87.98,clear sky,-25.2406,130.9889,Outback Pioneer Hotel & Lodge
463,Thiruvananthapuram,IN,87.78,few clouds,8.4833,76.9167,Uday Suites - The Garden Hotel
465,Nishihara,JP,78.46,few clouds,26.1842,127.7558,ユインチホテル南城
472,Tabuk,PH,86.34,clear sky,17.4189,121.4443,Davidson Hotel
478,Isla Mujeres,MX,75.25,light rain,21.2311,-86.731,Villa La Bella
480,Hue,VN,87.91,few clouds,16.4667,107.6,Candy Inn
481,Tual,ID,84.51,light rain,-5.6667,132.75,Suita
495,Broken Hill,AU,72.16,clear sky,-31.95,141.4333,Ibis Styles
498,Puerto Colombia,CO,75.29,light rain,10.9878,-74.9547,Hotel Puerto Colombia
504,Bengkulu,ID,82.94,overcast clouds,-3.8004,102.2655,Dena Hotel
505,Port Macquarie,AU,71.89,broken clouds,-31.4333,152.9167,The Observatory
510,Port-Gentil,GA,78.76,few clouds,-0.7193,8.7815,Tara-Mé
511,Nyimba,ZM,72.82,overcast clouds,-14.5566,30.8149,Dalitso Guesthouse
513,Buchanan,LR,76.8,scattered clouds,5.8808,-10.0467,Phillipmena's Guesthouse
516,Pemangkat,ID,84.33,overcast clouds,1.1667,108.9667,Hotel Kelapa Gading
517,Inhambane,MZ,75.18,broken clouds,-23.865,35.3833,Hotel de Inhambane
523,Marawi,PH,76.41,broken clouds,7.9986,124.2928,Marawi Resort Hotel
525,Tabou,CI,76.42,moderate rain,4.423,-7.3528,hôtel le rochet
530,Ibra,OM,82.62,overcast clouds,22.6906,58.5334,الدكيك
539,Neiafu,TO,80.64,overcast clouds,-18.65,-173.9833,Port Wine Guest House
543,Manacapuru,BR,74.39,overcast clouds,-3.2997,-60.6206,Novo Hotel
551,Manta,EC,71.38,overcast clouds,-0.95,-80.7333,La Gaviota
554,Jijiga,ET,71.92,scattered clouds,9.35,42.8,Africa Hotel
556,Kapoeta,SS,87.15,few clouds,4.7717,33.5903,Kuleu
557,Gobabis,,78.98,clear sky,-22.45,18.9667,Kalahari Convention Centre Hotel
558,Serenje,ZM,70.83,light rain,-13.2325,30.2352,Mogan Guesthouse
567,Tucupita,VE,72.63,overcast clouds,9.0622,-62.051,Hotel salma suit
576,Leshan,CN,70.52,broken clouds,29.5623,103.7639,Jinye Express Hotel
580,Tamandare,BR,76.03,overcast clouds,-8.7597,-35.1047,Pousada Baia dos Corais
585,Shangrao,CN,72.55,overcast clouds,28.4532,117.9686,心水 · 漫酒店
589,Puerto Narino,CO,70.59,light rain,-3.7703,-70.3831,Eco Hotel Euare
594,Ambon,ID,89.74,scattered clouds,-3.6954,128.1814,Hotel Hero
603,Ballina,AU,79.79,broken clouds,-28.8667,153.5667,Ballina Beach Resort
614,Kununurra,AU,89.58,broken clouds,-15.7667,128.7333,Kununurra Country Club Resort
615,Boa Vista,BR,75.18,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
616,Yenagoa,NG,82.62,scattered clouds,4.9247,6.2642,Peretimi Hotels Ltd.
618,Buraydah,SA,72.05,overcast clouds,26.326,43.975,دنا للوحدات السكنية
626,Mahibadhoo,MV,81.03,overcast clouds,3.7833,72.9667,Coral View Inn
638,Sibolga,ID,83.28,overcast clouds,1.7427,98.7792,Hotel Prima Indah
645,Itarema,BR,76.15,overcast clouds,-2.9248,-39.9167,Pousada Oásis
646,Ban Tak,TH,84.88,overcast clouds,17.0432,99.0813,Romruen Resort
649,Hambantota,LK,89.94,few clouds,6.1241,81.1185,Oasis Aurweda Resort Hambathota
650,Moerai,PF,73.98,few clouds,-22.4333,-151.3333,Manotel Rurutu
