City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
159,Hauterive,FR,46.0901,3.4459,50.76,91,100,9.66,light rain
160,Selfoss,IS,63.9331,-20.9971,34.05,71,6,9.13,clear sky
161,Miri,MY,4.4148,114.0089,87.94,70,40,8.05,scattered clouds
162,Hokitika,NZ,-42.7167,170.9667,55.85,69,45,4.14,scattered clouds
163,Lazaro Cardenas,MX,17.9583,-102.2,73.92,86,100,4.09,overcast clouds
164,Morros,BR,-9.4467,-46.3003,70.97,91,100,4.85,overcast clouds
165,Port Elizabeth,ZA,-33.918,25.5701,76.1,75,11,3.0,few clouds
166,Hami,CN,42.8,93.45,17.8,20,46,2.15,scattered clouds
167,Gunnedah,AU,-30.9833,150.25,82.99,25,0,13.56,light rain
168,Alihe,CN,50.5667,123.7167,8.56,91,100,1.74,overcast clouds
169,Goba,ET,7.0167,39.9833,57.18,60,51,4.81,broken clouds
170,Bud,US,39.447,-86.1758,42.82,94,100,7.49,overcast clouds
171,Mount Gambier,AU,-37.8333,140.7667,59.16,67,33,14.16,scattered clouds
172,Vengurla,IN,15.8667,73.6333,86.25,59,27,7.87,scattered clouds
173,Pangnirtung,CA,66.1451,-65.7125,7.11,77,100,4.54,overcast clouds
174,Teya,RU,60.3778,92.6267,-5.66,94,100,3.89,overcast clouds
175,Dhankuta,NP,26.9833,87.3333,67.71,46,0,5.95,clear sky
176,Wagga Wagga,AU,-35.1167,147.3667,70.84,43,29,12.46,scattered clouds
177,Khor,RU,47.8861,134.9464,16.81,81,100,2.48,overcast clouds
178,Honiara,SB,-9.4333,159.95,81.88,82,38,4.32,scattered clouds
179,San Matias,BO,-16.3667,-58.4,73.47,42,0,2.89,clear sky
180,Narsaq,GL,60.9167,-46.05,26.82,76,100,9.82,overcast clouds
181,Pokhara,NP,28.2333,83.9833,71.64,49,0,6.53,clear sky
182,Otradnoye,RU,59.7775,30.8181,24.85,88,100,6.02,overcast clouds
183,Nouakchott,MR,18.0858,-15.9785,62.53,29,0,11.77,clear sky
184,Shenjiamen,CN,29.9576,122.298,66.15,94,100,19.71,heavy intensity rain
185,Ostrovnoy,RU,68.0531,39.5131,25.72,88,100,18.12,overcast clouds
186,Gornopravdinsk,RU,60.05,69.9,0.23,83,100,7.2,overcast clouds
187,Barreirinha,BR,-2.7933,-57.07,73.56,97,89,1.7,overcast clouds
188,Udachnyy,RU,66.4167,112.4,-11.56,75,98,4.9,overcast clouds
189,Aksha,RU,50.2814,113.2867,-5.37,65,100,16.8,overcast clouds
190,Prieska,ZA,-29.6641,22.7474,80.46,35,3,16.35,clear sky
191,Yaqui,MX,27.3667,-110.1667,61.5,56,0,4.7,clear sky
192,Mackay,AU,-21.15,149.2,79.54,80,100,7.23,overcast clouds
193,Bosaso,SO,11.2842,49.1816,82.44,54,29,9.93,scattered clouds
194,Labuhan,ID,-6.8844,112.2051,83.86,71,100,0.69,light rain
195,Haverfordwest,GB,51.8017,-4.9691,45.05,93,59,8.93,light rain
196,Bilibino,RU,68.0546,166.4372,-2.06,94,100,3.22,overcast clouds
197,Kota,IN,25.1833,75.8333,79.2,23,0,3.78,clear sky
198,Dali,CN,25.7,100.1833,65.1,27,5,8.9,clear sky
199,Arraial Do Cabo,BR,-22.9661,-42.0278,72.66,92,100,18.54,overcast clouds
200,El Tarra,CO,8.5756,-73.0949,73.04,99,100,0.58,overcast clouds
201,Deputatskiy,RU,69.3,139.9,-35.0,95,55,4.16,broken clouds
202,Brae,GB,60.3964,-1.353,48.74,87,45,16.58,scattered clouds
203,Antalaha,MG,-14.9003,50.2788,81.77,57,65,7.9,broken clouds
204,High Level,CA,58.5169,-117.136,12.31,79,100,13.8,overcast clouds
205,San Luis,AR,-33.295,-66.3356,77.25,28,100,11.45,overcast clouds
206,Vostok,RU,46.4856,135.8833,14.02,94,100,1.97,overcast clouds
207,Vicuna,CL,-30.0319,-70.7081,53.33,66,0,0.13,clear sky
208,Koumac,NC,-20.5667,164.2833,81.09,73,45,4.85,scattered clouds
209,Grants,US,35.1473,-107.8514,17.83,67,0,4.61,clear sky
210,Turayf,SA,31.6725,38.6637,53.85,76,100,25.32,sand
211,Meulaboh,ID,4.1363,96.1285,84.52,65,100,7.02,overcast clouds
212,Port Lincoln,AU,-34.7333,135.8667,62.37,61,23,16.26,few clouds
213,Eagle Pass,US,28.7091,-100.4995,51.28,77,0,5.7,clear sky
214,Mikhaylovka,RU,50.06,43.2379,30.96,51,100,12.71,overcast clouds
215,Rawson,AR,-43.3002,-65.1023,65.43,81,90,17.18,overcast clouds
216,Hamilton,US,39.1834,-84.5333,44.44,89,75,6.91,mist
217,Fuxin,CN,42.0156,121.6589,31.95,47,80,11.14,broken clouds
218,Murgab,TM,37.4966,61.9714,55.27,50,0,10.22,clear sky
219,Souillac,MU,-20.5167,57.5167,80.98,61,40,12.66,scattered clouds
220,Carnarvon,AU,-24.8667,113.6333,82.98,50,0,18.23,clear sky
221,Sucha Beskidzka,PL,49.7419,19.5943,34.41,90,12,2.98,few clouds
222,Vestmannaeyjar,IS,63.4427,-20.2734,37.33,69,3,22.21,clear sky
223,Knysna,ZA,-34.0363,23.0471,76.48,48,0,8.03,clear sky
224,Lebu,CL,-37.6167,-73.65,53.96,94,8,5.26,clear sky
225,Aklavik,CA,68.2191,-135.0107,-14.8,97,100,2.66,overcast clouds
226,Cabo San Lucas,MX,22.8909,-109.9124,71.51,63,0,5.99,clear sky
227,Bozdar,PK,27.1828,68.636,82.85,11,6,3.22,clear sky
228,Kondinskoye,RU,59.6481,67.41,-1.43,84,100,8.52,overcast clouds
229,Ishigaki,JP,24.3448,124.1572,82.53,78,40,10.36,scattered clouds
230,Faanui,PF,-16.4833,-151.75,79.48,72,84,12.19,broken clouds
231,Neuquen,AR,-38.9516,-68.0591,71.49,68,0,6.91,clear sky
